Id,Zipcode,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone
8600000US21601,21601,ZCTA5 21601,24227,19393,3564,16,536,0,201
8600000US21607,21607,ZCTA5 21607,644,527,117,0,0,0,0
8600000US21610,21610,ZCTA5 21610,337,306,6,24,0,0,0
8600000US21612,21612,ZCTA5 21612,349,349,0,0,0,0,0
8600000US21613,21613,ZCTA5 21613,17409,10096,6433,34,209,0,380
8600000US21617,21617,ZCTA5 21617,10141,9228,730,25,44,0,0
8600000US21619,21619,ZCTA5 21619,5756,5172,246,26,46,0,0
8600000US21620,21620,ZCTA5 21620,12406,9649,2436,0,155,0,15
8600000US21622,21622,ZCTA5 21622,812,680,108,0,1,0,8
8600000US21623,21623,ZCTA5 21623,2271,1823,416,5,1,0,0
8600000US21624,21624,ZCTA5 21624,120,110,0,0,10,0,0
8600000US21625,21625,ZCTA5 21625,2640,2315,308,0,10,0,7
8600000US21626,21626,ZCTA5 21626,122,104,0,0,18,0,0
8600000US21627,21627,ZCTA5 21627,74,74,0,0,0,0,0
8600000US21628,21628,ZCTA5 21628,592,543,49,0,0,0,0
8600000US21629,21629,ZCTA5 21629,9625,7530,1629,23,33,6,240
8600000US21631,21631,ZCTA5 21631,2638,2423,170,0,30,0,5
8600000US21632,21632,ZCTA5 21632,5838,4053,1626,0,0,0,0
8600000US21634,21634,ZCTA5 21634,352,345,0,0,7,0,0
8600000US21635,21635,ZCTA5 21635,2251,2145,68,19,1,0,0
8600000US21636,21636,ZCTA5 21636,1244,1071,105,0,0,0,22
8600000US21638,21638,ZCTA5 21638,4959,4188,507,0,125,0,11
8600000US21639,21639,ZCTA5 21639,4424,3993,335,28,2,0,0
8600000US21640,21640,ZCTA5 21640,1284,1222,27,22,0,0,13
8600000US21641,21641,ZCTA5 21641,63,63,0,0,0,0,0
8600000US21643,21643,ZCTA5 21643,5128,3318,1515,0,65,0,90
8600000US21644,21644,ZCTA5 21644,163,163,0,0,0,0,0
8600000US21645,21645,ZCTA5 21645,1028,936,79,0,0,0,13
8600000US21647,21647,ZCTA5 21647,212,160,42,0,0,0,10
8600000US21648,21648,ZCTA5 21648,330,297,13,0,10,0,10
8600000US21649,21649,ZCTA5 21649,1985,1480,2,0,35,0,441
8600000US21650,21650,ZCTA5 21650,88,88,0,0,0,0,0
8600000US21651,21651,ZCTA5 21651,3363,2820,414,46,11,0,11
8600000US21652,21652,ZCTA5 21652,181,181,0,0,0,0,0
8600000US21653,21653,ZCTA5 21653,69,69,0,0,0,0,0
8600000US21654,21654,ZCTA5 21654,1025,988,33,0,0,0,0
8600000US21655,21655,ZCTA5 21655,5148,4428,555,0,64,0,0
8600000US21657,21657,ZCTA5 21657,939,720,219,0,0,0,0
8600000US21658,21658,ZCTA5 21658,3891,3569,140,20,76,0,17
8600000US21659,21659,ZCTA5 21659,1525,1129,342,0,23,0,0
8600000US21660,21660,ZCTA5 21660,4198,3415,573,0,23,14,17
8600000US21661,21661,ZCTA5 21661,2723,2493,212,0,13,0,4
8600000US21662,21662,ZCTA5 21662,793,566,179,4,0,0,0
8600000US21663,21663,ZCTA5 21663,3070,2681,314,0,8,0,15
8600000US21664,21664,ZCTA5 21664,855,736,0,0,22,0,92
8600000US21665,21665,ZCTA5 21665,346,307,0,0,0,0,33
8600000US21666,21666,ZCTA5 21666,12028,11607,138,35,95,0,24
8600000US21667,21667,ZCTA5 21667,239,239,0,0,0,0,0
8600000US21668,21668,ZCTA5 21668,1881,1546,89,23,8,0,195
8600000US21669,21669,ZCTA5 21669,169,169,0,0,0,0,0
8600000US21671,21671,ZCTA5 21671,879,862,0,8,0,0,0
8600000US21672,21672,ZCTA5 21672,164,156,0,0,0,0,0
8600000US21673,21673,ZCTA5 21673,3164,2440,620,0,5,24,34
8600000US21675,21675,ZCTA5 21675,72,72,0,0,0,0,0
8600000US21676,21676,ZCTA5 21676,419,364,42,0,0,0,0
8600000US21677,21677,ZCTA5 21677,624,596,9,0,0,0,0
8600000US21678,21678,ZCTA5 21678,2495,1736,672,0,0,0,75
8600000US21679,21679,ZCTA5 21679,400,400,0,0,0,0,0
8600000US21701,21701,ZCTA5 21701,36530,29569,3875,229,1421,0,431
8600000US21702,21702,ZCTA5 21702,38203,25568,6972,413,2304,96,1259
8600000US21703,21703,ZCTA5 21703,32894,21547,5341,77,2709,9,1808
8600000US21704,21704,ZCTA5 21704,14820,10696,1328,94,1761,0,242
8600000US21705,21705,ZCTA5 21705,4,0,2,0,0,0,0
8600000US21710,21710,ZCTA5 21710,4995,4575,158,0,59,0,9
8600000US21711,21711,ZCTA5 21711,837,825,0,0,0,0,0
8600000US21713,21713,ZCTA5 21713,9164,8773,172,21,120,0,2
8600000US21714,21714,ZCTA5 21714,52,52,0,0,0,0,0
8600000US21716,21716,ZCTA5 21716,5037,4788,97,0,0,12,0
8600000US21717,21717,ZCTA5 21717,34,34,0,0,0,0,0
8600000US21718,21718,ZCTA5 21718,153,151,0,0,0,0,0
8600000US21719,21719,ZCTA5 21719,1412,1364,1,0,0,8,0
8600000US21722,21722,ZCTA5 21722,5530,5226,76,3,50,0,11
8600000US21723,21723,ZCTA5 21723,631,362,119,0,124,10,0
8600000US21727,21727,ZCTA5 21727,6561,5970,273,15,166,0,65
8600000US21733,21733,ZCTA5 21733,863,850,0,0,0,0,0
8600000US21734,21734,ZCTA5 21734,805,771,18,0,0,0,8
8600000US21737,21737,ZCTA5 21737,1815,1327,33,0,417,0,0
8600000US21738,21738,ZCTA5 21738,3450,2891,27,0,452,0,0
8600000US21740,21740,ZCTA5 21740,61584,47853,9572,186,900,20,385
8600000US21742,21742,ZCTA5 21742,32549,27534,2947,85,1012,0,171
8600000US21746,21746,ZCTA5 21746,3074,887,2011,14,20,0,16
8600000US21750,21750,ZCTA5 21750,4023,3938,26,5,12,0,0
8600000US21754,21754,ZCTA5 21754,6148,5684,55,0,261,0,95
8600000US21755,21755,ZCTA5 21755,6040,5796,87,0,72,0,4
8600000US21756,21756,ZCTA5 21756,3706,3540,85,2,4,0,5
8600000US21757,21757,ZCTA5 21757,2961,2898,20,8,5,0,0
8600000US21758,21758,ZCTA5 21758,4759,4337,330,29,13,0,2
8600000US21762,21762,ZCTA5 21762,180,180,0,0,0,0,0
8600000US21766,21766,ZCTA5 21766,497,489,8,0,0,0,0
8600000US21767,21767,ZCTA5 21767,1148,1044,80,0,0,0,24
8600000US21769,21769,ZCTA5 21769,11190,10581,162,25,227,0,8
8600000US21770,21770,ZCTA5 21770,5457,5157,95,0,62,0,0
8600000US21771,21771,ZCTA5 21771,29558,27855,572,117,376,0,55
8600000US21773,21773,ZCTA5 21773,5422,5258,26,6,66,0,33
8600000US21774,21774,ZCTA5 21774,12425,11192,493,16,367,17,56
8600000US21776,21776,ZCTA5 21776,5251,4782,193,0,122,0,62
8600000US21777,21777,ZCTA5 21777,1700,1304,335,0,6,0,5
8600000US21778,21778,ZCTA5 21778,1141,835,18,0,9,0,246
8600000US21779,21779,ZCTA5 21779,853,771,23,15,5,0,0
8600000US21780,21780,ZCTA5 21780,1623,1520,69,0,18,0,0
8600000US21781,21781,ZCTA5 21781,93,56,30,0,7,0,0
8600000US21782,21782,ZCTA5 21782,4367,4195,33,3,9,13,0
8600000US21783,21783,ZCTA5 21783,9031,8536,152,6,57,0,71
8600000US21784,21784,ZCTA5 21784,39696,36348,1300,84,1023,17,87
8600000US21787,21787,ZCTA5 21787,11531,10626,410,17,164,0,59
8600000US21788,21788,ZCTA5 21788,11794,11479,106,11,21,5,13
8600000US21790,21790,ZCTA5 21790,45,45,0,0,0,0,0
8600000US21791,21791,ZCTA5 21791,5643,5281,223,4,28,0,71
8600000US21793,21793,ZCTA5 21793,10149,8884,616,24,185,0,58
8600000US21794,21794,ZCTA5 21794,2421,1727,109,0,487,0,12
8600000US21795,21795,ZCTA5 21795,9225,8687,250,10,175,6,15
8600000US21797,21797,ZCTA5 21797,8160,7688,134,0,199,0,30
8600000US21798,21798,ZCTA5 21798,2647,2448,24,2,39,5,35
8600000US21801,21801,ZCTA5 21801,31052,18021,10022,283,1189,0,484
8600000US21802,21802,ZCTA5 21802,66,58,8,0,0,0,0
8600000US21804,21804,ZCTA5 21804,37988,26116,9392,23,1076,12,591
8600000US21810,21810,ZCTA5 21810,334,284,50,0,0,0,0
8600000US21811,21811,ZCTA5 21811,20994,17910,2438,57,257,33,76
8600000US21813,21813,ZCTA5 21813,2614,2363,229,0,0,0,0
8600000US21814,21814,ZCTA5 21814,566,409,157,0,0,0,0
8600000US21817,21817,ZCTA5 21817,5049,3550,1153,8,29,0,32
8600000US21821,21821,ZCTA5 21821,896,816,62,0,0,0,0
8600000US21822,21822,ZCTA5 21822,2039,1648,360,0,31,0,0
